id	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
GSE10500_GSM265436_Control	0.0205447607856316	0.0208017995149546	0	0.183019174888179	0	0.0219346877689895	0	0	0.0675277647345677	0	0.0655378059326423	0	0.24694209286688	0.188117904758914	0	0.0113723444889826	0	0.000980494549342385	0	0.0519431848440563	0	0.12127798486686
GSE10500_GSM265439_Control	0.0170129071847639	0.0252646166763943	0	0.0858276070311878	0.00632753575047846	0	0	0	0.124595738542402	0	0.0473971975036039	0.0163233429016856	0.424042790241056	0.126370265457387	0	0.0161173666257299	0	0	0.00779051697960704	0	0	0.102930115105704
GSE10500_GSM265445_Control	0.0194768418377261	0.0689151594991441	0	0.0749756809750977	0.0329702734322312	0	0	0	0.11396290971302	0	0.0362880840798115	0.00737461616824923	0.369197021252727	0.143083985734961	0	0.0252328445992693	0	0	0	0	0	0.108522582707763
GSE10500_GSM265020_Treat	0.0098285681561492	0	0	0.255227511147182	0	0	0	0.00726866492473727	0.013905019592631	0.186828521222002	0.0147653976833186	0.00562119239027959	0.120646951626266	0.139834175176096	0	0	0	0.0456808461796243	0	0.0710422858469329	0	0.129350866054781
GSE10500_GSM265036_Treat	0.00194338221728341	0.0345191665818496	0	0.107067002407438	0	0.0209791915322003	0	0	0.151027079274858	0	0.0655925635275243	0.00564418764865073	0.343773311328122	0.00643512163487073	0	0	0	0.00662980716851115	0	0.0264507718927771	0	0.229938414785916
GSE10500_GSM265361_Treat	0.0195563083466398	0.0215661014817228	0	0.054235932556152	0.113496201664992	0	0	0	0.109423285914374	0	0.142028652997024	0	0.189950049683676	0.0488342355315877	0.00619694755566723	0	0	0.0210290824419099	0	0.0331961914663699	0	0.240487010359884
GSE10500_GSM265363_Treat	0.0105835994178036	0.0267203926219938	0	0.23202976232655	0.0283179885627875	0	0	0	0.0560874224603742	0	0.0591074212035326	0.0118803913369417	0.193165981536211	0.0229003016408418	0	0	0	0.045344821091149	0	0.0598280096793903	0	0.254033908122425
GSE10500_GSM265366_Treat	0.00414255554648952	0.0373896982035269	0	0.070043519834064	0.0851102773740899	0.00582922735696608	0	0	0.0887140653271314	0	0.181796279231647	0	0.227375351488665	0.019141937805578	0	0	0	0.0498955579230812	0	0.0185205494165581	0	0.212040980492203
GSE15573_GSM389705_Control	0.000714470394400122	0.0112887026442329	0	0.16967691687114	0	0	0	0	0.110903551435221	0	0.196605312103147	0.014204212588687	0.273345367914287	0.0711349950091688	0	0	0	0.0134821705610786	0	0.0118756234201013	0	0.126768677058537
GSE15573_GSM389707_Control	0	0.0485919093932157	0	0.1695061285509	0.0822903574726789	0	0	0	0.124865255691516	0	0.142082890037084	0.0592991314626549	0.229653231303905	0.0187841810951372	0	0	0	0.00403832604688808	0	0.00930264816012097	0	0.111585940785899
GSE15573_GSM389709_Control	0.0298159744569314	0	0	0.39659071157701	0	0	0	0	0.051667870193808	0	0.0725811063856487	0.066948990568219	0.142361990821596	0	0	0.0225355075120613	0	0.0085900552730647	0	0.124650228697832	0	0.0842575645138286
GSE15573_GSM389710_Control	0.0184914690801082	0.0393607845383612	0	0.139181794420898	0.104415110178719	0	0	0	0.190942929248575	0	0.0895703537131945	0.0456142918156005	0.248015205744076	0.00445527598485357	0	0	0	0.00471953707427689	0	0.016892770019475	0	0.0983404781818617
GSE15573_GSM389712_Control	0.110009571521531	0.0228677442740493	0	0.0677769403751746	0.100008478370636	0	0	0	0.131062721823062	0	0.0601600439157257	0.00398300291172856	0.196451223214734	0.0651006883056767	0	0	0	0.00298156147692265	0	0	0	0.239598023810761
GSE15573_GSM389713_Control	0.0135991376467522	0.0576997698043118	0	0.17934218559453	0.0739911957161176	0.00298639574937383	0	0	0.171713874060093	0	0.0830096786315603	0.011966164601454	0.160177288950261	0.0868374096533466	0	0	0	0.01291726309597	0.00451717744316277	0	0	0.141242459053067
GSE15573_GSM389715_Control	0.0128849350469297	0.0266544651996804	0	0.124473304373263	0.0352698034838229	0	0	0	0.123805869206642	0	0.0688694653318187	0	0.191918847147736	0.0588248268734858	0	0	0	0.00639815746376155	0	0.00864006548678797	0	0.342260260386071
GSE15573_GSM389718_Control	0.0192387732298136	0.0446241686885507	0	0.278111398344575	0	0.0458435891799334	0	0	0.0991668318588674	0	0.0442744114774617	0.0555065513026791	0.258215308066037	0.0359518197309111	0	0	0	0.0245510418974814	0	0.00707565530588668	0	0.087440450917803
GSE15573_GSM389720_Control	0.0310328929528016	0.0412965370789675	0	0.115557873173131	0.107545671815055	0	0	0	0.151445517465966	0	0.0485469622624468	0.0579990828101645	0.175932652373749	0.0602673733996427	0	0	0	0.00853196921654896	0.0242884636302849	0	0	0.177555003821243
GSE15573_GSM389723_Control	0.00800356417846656	0.0216570842827305	0	0.12158289882317	0.0380781272387521	0	0	0	0.0636316978877568	0	0.0441740150674266	0.00696767124976108	0.295151339012983	0.0441702612263109	0	0	0	0.0320565467573893	0	0.0474181740819443	0	0.277108620193309
GSE15573_GSM389725_Control	0.0238047131856942	0.0127615135484352	0	0.194687939392313	0.00841331047468405	0	0	0	0.103508455358609	0	0.0885909666763655	0.00082188897678828	0.343039758258499	0.102723909645246	0	0	0	0.0023372085709852	0.00320987895821493	0	0	0.116100456954166
GSE15573_GSM389728_Control	0.0527959894214848	0.0604343509614362	0	0.188372620267596	0.010740382662874	0	0	0	0.07615944804442	0	0.0944863991987574	0.0246234669930712	0.301850855586315	0.0393553552873792	0	0	0	0.00736883128332558	0	0.0588295466902512	0	0.0849827536030889
GSE15573_GSM389729_Control	0.0137930548745316	0.0341481052043709	0	0.0981350850490329	0.113561885334137	0	0	0	0.146314461305901	0	0.146331549976176	0.0076669166318318	0.220444927258154	0.00457475035832817	0	0	0	0.0053130716718573	0	0.0135235340534147	0	0.196192658282264
GSE15573_GSM389732_Control	0.0577424402429792	0	0	0.10407539119894	0	0.0080089795181808	0	0	0.094056239017644	0	0.0552154730463849	0	0.306867943016266	0.0465722427459185	0	0	0	0.0202887267372994	0	0.0530359000541772	0	0.25413666442221
GSE15573_GSM389734_Control	0.0506171575491151	0.0265089339719486	0	0.253301017005891	0.0726345909403349	0	0	0	0.147271083918546	0	0.0808152632821517	0	0.199424293103839	0.0210685342147436	0	0	0	0.0234167071931943	0	0.0139807535889226	0	0.110961665231312
GSE15573_GSM389703_Treat	0.0320564747466564	0.0738617470318902	0	0.277221866437781	0.100085187828373	0	0	0	0.0139788003759099	0	0.03010993209474	0.0694412798177853	0.222634660449852	0.0508092118657214	0	0.0198409154196671	0.0112172010940289	0.00485147055536627	0	0.0133225731382981	0	0.0805686791439301
GSE15573_GSM389704_Treat	0.0105108058781042	0.0530791843041489	0	0.19239412359261	0.0147898581338352	0	0	0	0.107226903963069	0	0.103582891012319	0	0.282406776475737	0.115018673456887	0	0	0	0.00118092238657553	0	0.0100162696456947	0	0.109793591151019
GSE15573_GSM389706_Treat	0.0151438557503219	0	0	0.0243829729665849	0.0250642434959782	0	0	0	0.0396312618752452	0	0.0293701920451293	0.000105731680665145	0.282473721035504	0.335189564742704	0	0	0	0.00198398190559727	0.0147687668636202	0	0	0.231885707638649
GSE15573_GSM389708_Treat	0.00379030589642146	0.0243008274559491	0	0.0747076260079308	0.123112317403903	0	0	0	0.0861540236077453	0	0.0745809784520941	0	0.317013144300835	0.0832071808595883	0	4.63245114936578e-05	0	0.0045882522666822	0	0.0520787654879416	0	0.156420253749416
GSE15573_GSM389711_Treat	0.0155437424412646	0	0.00830674480783737	0.0528325160688538	0.0166206756802175	0	0	0	0.0533396669337302	0	0.0813264521989608	0.000281970534950948	0.239864682123523	0.142269995756077	0	0	0	0.0113351933569717	0	0.0304417252167424	0	0.34783663488087
GSE15573_GSM389714_Treat	0	0.00274398405828276	0	0.277846812354453	0	0	0	0	0.0644329090922268	0	0.164397159049445	0.0285122080000785	0.230496541864788	0.0642264367443952	0	0.000135247789091982	0	0.00858810577386746	0	0.034267875339753	0	0.124352719933619
GSE15573_GSM389716_Treat	0	0.0360426226895272	0	0.10970649106567	0.0215000693223584	0.101313814325751	0	0	0.122392784594345	0	0.0284568267273699	0.00333649353083454	0.204246407351316	0.128482250927572	0	0.0118955670009805	0	0.00215437557834586	0	0.0124366768255153	0	0.218035620060414
GSE15573_GSM389717_Treat	0.00508478607408349	0.0225437681888837	0	0.0861722183691498	0.00254121257463306	0	0	0	0.0173026332310541	0	0.0869088164336009	0.0110053175746204	0.0975660937054583	0.122412686219706	0	0	0	0.0500543610571912	0	0.0420663762973995	0	0.45634173027422
GSE15573_GSM389719_Treat	0.0193036058711945	0.021764207954399	0	0.0361932946576614	0	0.0421630555907911	0	0	0.122235473661837	0	0.0238284860836778	0.0014250159312617	0.471121203771781	0.147632104376399	0	0	0	0.00651872067882094	0	0.00519109565310052	0	0.102623735769076
GSE15573_GSM389721_Treat	0.0991193457600282	0	0	0.241147360672309	0.0732555639414296	0	0	0	0.112317254579486	0	0.0621318300343788	0.0129233738098492	0.164693556542363	0.0859529467988323	0	0	0	0	0	0.017634557835589	0	0.130824210025734
