id	logFC	AveExpr	t	P.Value	adj.P.Val	B
RNASE2	1.23791046695402	8.06896252830189	8.27249037176574	2.85258016807236e-11	2.23242923953343e-07	15.1808175101333
NUP93	-0.396396992816094	9.06526849056604	-7.06388423689373	2.77578544212793e-09	1.08616484350466e-05	10.9474030064017
AKR7A2	-0.565577008620693	10.0061835849057	-6.60291033741545	1.59408930660659e-08	4.1584476378344e-05	9.32389721333282
TEX261	-0.324652821839084	10.0828879433962	-6.38323153424947	3.65562156491263e-08	7.15222359175156e-05	8.55219282091388
RAB11FIP3	-0.546257669540232	7.94362937735849	-6.16130646359305	8.42702469427594e-08	0.000131899790514807	7.77530184709868
PCBP1	-0.360606705459768	12.0531891886792	-6.06300343085059	1.21833531861665e-07	0.000147805708500521	7.43233627457905
HADH	-0.523768853448277	8.17196524528302	-6.02251461398729	1.41771331917844e-07	0.000147805708500521	7.29132088131599
RANGAP1	-0.510915372126439	9.52152149056604	-6.00549124134868	1.51091958600072e-07	0.000147805708500521	7.23207693065743
S100A8	1.26592163505747	11.6569310188679	5.87276469157088	2.4795807600246e-07	0.000215613322532806	6.7711633496109
TTF2	-0.365488850574715	7.38359486792453	-5.82951546609994	2.91267150290321e-07	0.000227945671817206	6.62138348270233
IFT20	0.373742254310338	8.23166960377358	5.78996615379571	3.373934554045e-07	0.000240040107454147	6.48460745106577
S100A9	0.781596643678162	10.754629754717	5.69670815012689	4.76801512999188e-07	0.000310954053394304	6.16285153903964
MDH2	-0.48075453304598	9.5156739245283	-5.58425767491204	7.22362265397918e-07	0.000388070561097127	5.77642441124245
RBL2	-0.416589948275861	9.65602905660377	-5.57876622278221	7.37131597957599e-07	0.000388070561097127	5.75759966540291
RPA1	-0.533967886494255	8.88236243396226	-5.56503852263752	7.75371428267519e-07	0.000388070561097127	5.71056055683034
ATP6V0E2	-0.54700064367816	9.94017109433962	-5.55058078969922	8.17766092485836e-07	0.000388070561097127	5.66105045169483
PARP1	-0.551301619252879	9.44485318867924	-5.52917308504564	8.84781931487804e-07	0.000388070561097127	5.58779870381685
MTSS1	-0.474597502873564	8.34015349056604	-5.52626092369311	8.94308071473869e-07	0.000388070561097127	5.57783946667641
ANKHD1	-0.293340554597705	8.46254032075472	-5.50450091999438	9.68770241866975e-07	0.000388070561097127	5.50346470349684
MYL6	0.452678182471262	13.4073463773585	5.49621608619303	9.98703413460726e-07	0.000388070561097127	5.4751670574605
LHFPL2	0.546402886494253	9.75463462264151	5.48201641082853	1.05214666323397e-06	0.000388070561097127	5.42669210719476
SBF1	-0.360384905172413	9.42500350943396	-5.47215327092142	1.09092158754623e-06	0.000388070561097127	5.3930403087531
MFNG	-0.313444117816093	9.3449919245283	-5.45884179312598	1.14549930698385e-06	0.000389768590280677	5.34764824189424
RTN1	-0.736392704022989	6.57123322641509	-5.40733996877749	1.3832507382922e-06	0.000437348094089121	5.1723037460076
LRRFIP1	0.434132826149424	10.0890205849057	5.4046160777981	1.3970997127815e-06	0.000437348094089121	5.16304237228152
ALDH9A1	-0.367198561781612	10.731172490566	-5.37931109948604	1.5324766542238e-06	0.000461275472921363	5.07706521802546
TMEM109	-0.388338278735633	10.1049004339623	-5.36604210518773	1.60855610821664e-06	0.0004662429667742	5.03202656709051
HP	0.535269415229883	6.74370605660377	5.32479911121118	1.86962029990317e-06	0.000509767185976432	4.89223638875254
ECH1	-0.466837397988504	10.7624313773585	-5.32196936638009	1.88899161683063e-06	0.000509767185976432	4.88265643131511
CKAP4	0.735779382183901	10.5894038490566	5.27085305062151	2.2750168424045e-06	0.000593476060288588	4.7098598553796
DNMT1	-0.535011639367818	9.66802149056604	-5.25301831049755	2.42722545608073e-06	0.000612756981267349	4.64968611038134
ZFP36	-0.673223606321841	11.9666422830189	-5.22025688523389	2.73341700099463e-06	0.000668491295305748	4.53931045384197
STK25	-0.432727433908047	9.05943952830189	-5.17341382542185	3.23831909121121e-06	0.000767972279024817	4.38186175122463
COMT	-0.492054573275865	10.3045667169811	-5.13944269788785	3.66087658112151e-06	0.000842647650701674	4.26795736134707
MPV17	-0.445115212643683	9.75918922641509	-5.08027009224528	4.53019629830974e-06	0.00101295189230206	4.07013245753024
