Gene	Cell	cor	pvalue
AIM2	B cells naive	-0.327872893237062	0.0825022612598155
AIM2	B cells memory	0.188000564993323	0.32875446176746
AIM2	Plasma cells	0.158113883008419	0.41267952580968
AIM2	T cells CD8	-0.187192118226601	0.329384985462563
AIM2	T cells CD4 naive	-0.10414445142463	0.590831770386773
AIM2	T cells CD4 memory resting	-0.0990651792817197	0.609157431414954
AIM2	T cells CD4 memory activated	0.0903507902905251	0.641138892848358
AIM2	T cells follicular helper	0.0894417486001722	0.644512821302798
AIM2	T cells regulatory (Tregs)	-0.223152709359606	0.243511873742476
AIM2	T cells gamma delta	0.146740368797158	0.44750128204198
AIM2	NK cells resting	0.0719211822660098	0.709988879931317
AIM2	NK cells activated	-0.144091338011791	0.455831613105694
AIM2	Monocytes	-0.3935960591133	0.0355039437608801
AIM2	Macrophages M0	-0.00541871921182266	0.978610584247343
AIM2	Macrophages M1	0.199380564587884	0.299770593546402
AIM2	Macrophages M2	0.21092354396737	0.272069688156453
AIM2	Dendritic cells resting	0.112938487863156	0.55968394005468
AIM2	Dendritic cells activated	0.334647650303676	0.0759928855941305
AIM2	Mast cells resting	-0.0435377940425144	0.822561920175932
AIM2	Mast cells activated	0.138272026435718	0.474416761934836
AIM2	Eosinophils	0.0903507902905251	0.641138892848358
AIM2	Neutrophils	0.592118226600985	0.000895449059435301
