Gene	Cell	cor	pvalue
CSF1R	B cells naive	0.186229832672591	0.333413300179457
CSF1R	B cells memory	-0.122522795655279	0.526619340621907
CSF1R	Plasma cells	0.0225876975726313	0.907412793872856
CSF1R	T cells CD8	-0.0428571428571429	0.825136836390499
CSF1R	T cells CD4 naive	-0.0870756458467214	0.65332696900747
CSF1R	T cells CD4 memory resting	-0.121371246139855	0.530541698498904
CSF1R	T cells CD4 memory activated	-0.293640068444207	0.122091934621774
CSF1R	T cells follicular helper	-0.245498966209848	0.199264409430217
CSF1R	T cells regulatory (Tregs)	0.393103448275862	0.0357504220432119
CSF1R	T cells gamma delta	-0.211026625603531	0.271830021849782
CSF1R	NK cells resting	0.245320197044335	0.198857120591386
CSF1R	NK cells activated	0.0817271986977873	0.673418280670039
CSF1R	Monocytes	0.475862068965517	0.00977500920245292
CSF1R	Macrophages M0	0.2	0.296874751456154
CSF1R	Macrophages M1	0.11925566480023	0.537783952442252
CSF1R	Macrophages M2	-0.211251574362343	0.27130748621192
CSF1R	Dendritic cells resting	-0.225876975726313	0.23872409198062
CSF1R	Dendritic cells activated	-0.160177446758019	0.406528415756161
CSF1R	Mast cells resting	0.235761262079276	0.218243401051585
CSF1R	Mast cells activated	0.0217284612970413	0.910920699158703
CSF1R	Eosinophils	-0.293640068444207	0.122091934621774
CSF1R	Neutrophils	-0.328571428571429	0.0822541162357239
