Gene	Cell	cor	pvalue
IER3	B cells naive	-0.262101245983647	0.169589415864498
IER3	B cells memory	-0.0942483043502145	0.626752975306274
IER3	Plasma cells	-0.158113883008419	0.41267952580968
IER3	T cells CD8	0.093103448275862	0.629748439333966
IER3	T cells CD4 naive	-0.159061478066596	0.409848483288798
IER3	T cells CD4 memory resting	-0.0662621397844615	0.73271809611833
IER3	T cells CD4 memory activated	-0.0225876975726313	0.907412793872855
IER3	T cells follicular helper	0.058696147518863	0.76231257859066
IER3	T cells regulatory (Tregs)	-0.493103448275862	0.00718636118246961
IER3	T cells gamma delta	0.000465842440625897	0.998086447967109
IER3	NK cells resting	-0.0926108374384236	0.631572009107788
IER3	NK cells activated	0.0658846955656009	0.734186016421958
IER3	Monocytes	0.0901477832512315	0.640721959417526
IER3	Macrophages M0	0.333990147783251	0.0771051029312179
IER3	Macrophages M1	-0.100621967175194	0.60351532127012
IER3	Macrophages M2	0.164343227881263	0.394269524170782
IER3	Dendritic cells resting	0.248464673298944	0.193717491284404
IER3	Dendritic cells activated	-0.0768851744438489	0.691799236829779
IER3	Mast cells resting	-0.117469897133576	0.543933361076606
IER3	Mast cells activated	0.213827812309521	0.265369409317059
IER3	Eosinophils	-0.0225876975726313	0.907412793872855
IER3	Neutrophils	-0.129064039408867	0.503007282580464
