Gene	Cell	cor	pvalue
IL18R1	B cells naive	-0.246582093260931	0.197226037601855
IL18R1	B cells memory	-0.23512471716843	0.219525253498071
IL18R1	Plasma cells	0.316227766016838	0.0946761010046628
IL18R1	T cells CD8	-0.266995073891626	0.161067927299061
IL18R1	T cells CD4 naive	-0.386150804450944	0.0385419959304649
IL18R1	T cells CD4 memory resting	0.060357592674955	0.755784038686461
IL18R1	T cells CD4 memory activated	0.135526185435788	0.483320424562002
IL18R1	T cells follicular helper	0.333077345047516	0.0774652825134944
IL18R1	T cells regulatory (Tregs)	-0.408866995073892	0.0285228841101207
IL18R1	T cells gamma delta	0.0731372631782658	0.706145990179561
IL18R1	NK cells resting	-0.201970443349754	0.292062438010289
IL18R1	NK cells activated	0.0256497669759209	0.894925923471705
IL18R1	Monocytes	-0.198029556650246	0.301737565887549
IL18R1	Macrophages M0	0.278817733990148	0.142792329560714
IL18R1	Macrophages M1	0.0759323178220212	0.6954370608316
IL18R1	Macrophages M2	-0.183697021184646	0.340146623544261
IL18R1	Dendritic cells resting	-0.112938487863156	0.559683940054681
IL18R1	Dendritic cells activated	0.368161700702277	0.0494092585060123
IL18R1	Mast cells resting	0.267798506752069	0.160167098182389
IL18R1	Mast cells activated	0.13086459644809	0.498629708814063
IL18R1	Eosinophils	0.135526185435788	0.483320424562002
IL18R1	Neutrophils	0.579802955665024	0.00120009168288584
