Gene	Cell	cor	pvalue
S100A9	B cells naive	-0.446538556294654	0.0151715843732081
S100A9	B cells memory	0.0448974850805724	0.817111669143538
S100A9	Plasma cells	0.0677714394682757	0.726857528393672
S100A9	T cells CD8	-0.423697502905895	0.0219974074089363
S100A9	T cells CD4 naive	-0.289215818754061	0.128084733916025
S100A9	T cells CD4 memory resting	0.132048497108136	0.494718739765285
S100A9	T cells CD4 memory activated	-0.31626671751862	0.0946332379723718
S100A9	T cells follicular helper	-0.104827459721542	0.588385891625841
S100A9	T cells regulatory (Tregs)	-0.203966007212838	0.288561487130017
S100A9	T cells gamma delta	-0.218739965952285	0.254282853649262
S100A9	NK cells resting	0.0194605248427708	0.92018744434052
S100A9	NK cells activated	-0.11895915868815	0.538802706469478
S100A9	Monocytes	0.141150389049464	0.465175450635624
S100A9	Macrophages M0	0.237467670233304	0.214832154200969
S100A9	Macrophages M1	-0.0358742862158167	0.853424919585378
S100A9	Macrophages M2	0.0255895224209555	0.895171368953831
S100A9	Dendritic cells resting	-0.112952399113793	0.559635269042638
S100A9	Dendritic cells activated	-0.00492914389813328	0.979754470087795
S100A9	Mast cells resting	-0.120770642529859	0.532592983126831
S100A9	Mast cells activated	-0.0871714955880755	0.65296901363951
S100A9	Eosinophils	-0.31626671751862	0.0946332379723718
S100A9	Neutrophils	0.473949997436594	0.00939665468925772
