Gene	Cell	cor	pvalue
SLPI	B cells naive	-0.210863408422934	0.272209567159772
SLPI	B cells memory	-0.272327995201409	0.152947033086409
SLPI	Plasma cells	-0.293640068444207	0.122091934621774
SLPI	T cells CD8	0.0211822660098522	0.913576577575341
SLPI	T cells CD4 naive	-0.395551016218487	0.033678596480684
SLPI	T cells CD4 memory resting	-0.0311628875223953	0.872507590114124
SLPI	T cells CD4 memory activated	0	1
SLPI	T cells follicular helper	-0.114131397953345	0.555517383712407
SLPI	T cells regulatory (Tregs)	-0.233497536945813	0.22190009789471
SLPI	T cells gamma delta	-0.172827545472208	0.369965181779539
SLPI	NK cells resting	0.23448275862069	0.219912792934665
SLPI	NK cells activated	-0.206958413933166	0.281392228082927
SLPI	Monocytes	-0.223152709359606	0.243511873742476
SLPI	Macrophages M0	0.204433497536946	0.286118055397008
SLPI	Macrophages M1	0.0941001730064312	0.62729733753767
SLPI	Macrophages M2	-0.183040960394701	0.341904026308953
SLPI	Dendritic cells resting	-0.18070158058105	0.348215046227968
SLPI	Dendritic cells activated	0.14588468997038	0.4501831449171
SLPI	Mast cells resting	-0.320372446727936	0.0901969016958581
SLPI	Mast cells activated	0.436544540604194	0.0179025954436064
SLPI	Eosinophils	0	1
SLPI	Neutrophils	0.138916256157635	0.470697282318686
