Gene	Cell	cor	pvalue
VCAN	B cells naive	0.0295602909004113	0.879015148796771
VCAN	B cells memory	0.0763907308943844	0.693686096266402
VCAN	Plasma cells	-0.293640068444207	0.122091934621774
VCAN	T cells CD8	-0.0645320197044335	0.738777928169132
VCAN	T cells CD4 naive	-0.000742121981648194	0.99695157218822
VCAN	T cells CD4 memory resting	0.167951562225962	0.383823753429913
VCAN	T cells CD4 memory activated	-0.18070158058105	0.348215046227968
VCAN	T cells follicular helper	-0.0437891894188343	0.821553598245298
VCAN	T cells regulatory (Tregs)	0.438916256157635	0.0180576106509828
VCAN	T cells gamma delta	-0.149535423440913	0.438801025689222
VCAN	NK cells resting	-0.0133004926108374	0.946050474396856
VCAN	NK cells activated	0.109388712103192	0.572166291266202
VCAN	Monocytes	0.0428571428571429	0.825136836390498
VCAN	Macrophages M0	-0.190147783251231	0.321693568311834
VCAN	Macrophages M1	0.158386429812805	0.411864145264731
VCAN	Macrophages M2	0.00229621276480807	0.990567991095596
VCAN	Dendritic cells resting	-0.0677630927178938	0.726889897516648
VCAN	Dendritic cells activated	0.0532281976918954	0.783909185303427
VCAN	Mast cells resting	-0.0837897168365371	0.66564348433653
VCAN	Mast cells activated	-0.0997533905000535	0.606660486181424
VCAN	Eosinophils	-0.18070158058105	0.348215046227968
VCAN	Neutrophils	0.0684729064039409	0.723377195958219
