Gene	Cell	cor	pvalue
VNN1	B cells naive	-0.0234018969628256	0.904090325463953
VNN1	B cells memory	-0.0446439336395753	0.81812739244166
VNN1	Plasma cells	0.271052370871575	0.154956327629697
VNN1	T cells CD8	-0.0394088669950739	0.839093852930346
VNN1	T cells CD4 naive	-0.288190702873382	0.129503536459546
VNN1	T cells CD4 memory resting	-0.0124651550089581	0.948829673300388
VNN1	T cells CD4 memory activated	0.0225876975726313	0.907412793872856
VNN1	T cells follicular helper	0.144876999034654	0.453352423850094
VNN1	T cells regulatory (Tregs)	-0.220689655172414	0.248859327479521
VNN1	T cells gamma delta	-0.099224439853316	0.608579224063263
VNN1	NK cells resting	-0.27487684729064	0.1487063981992
VNN1	NK cells activated	0.180302773742503	0.349297842251793
VNN1	Monocytes	-0.087192118226601	0.651771306875128
VNN1	Macrophages M0	0.352709359605911	0.0612261281192562
VNN1	Macrophages M1	0.127640828731496	0.509357328123341
VNN1	Macrophages M2	0.137444735493512	0.477090353136161
VNN1	Dendritic cells resting	0.203289278153682	0.290198758124826
VNN1	Dendritic cells activated	-0.11680632271277	0.546226796883266
VNN1	Mast cells resting	-0.00328587124849165	0.986503143791245
VNN1	Mast cells activated	-0.0953089325074768	0.622860926819087
VNN1	Eosinophils	0.0225876975726313	0.907412793872856
VNN1	Neutrophils	0.119704433497537	0.534709301622838
