id	GSM265436_Control	GSM265439_Control	GSM265445_Control	GSM389705_Control	GSM389707_Control	GSM389709_Control	GSM389710_Control	GSM389712_Control	GSM389713_Control	GSM389715_Control	GSM389718_Control	GSM389720_Control	GSM389723_Control	GSM389725_Control	GSM389728_Control	GSM389729_Control	GSM389732_Control	GSM389734_Control	GSM185531_Control	GSM185532_Control	GSM185533_Control	GSM185534_Control	GSM185535_Control	GSM185536_Control	GSM265020_Treat	GSM265036_Treat	GSM265361_Treat	GSM265363_Treat	GSM265366_Treat	GSM389703_Treat	GSM389704_Treat	GSM389706_Treat	GSM389708_Treat	GSM389711_Treat	GSM389714_Treat	GSM389716_Treat	GSM389717_Treat	GSM389719_Treat	GSM389721_Treat	GSM389722_Treat	GSM389724_Treat	GSM389726_Treat	GSM389727_Treat	GSM389730_Treat	GSM389731_Treat	GSM389733_Treat	GSM389735_Treat	GSM183695_Treat	GSM185526_Treat	GSM185527_Treat	GSM185528_Treat	GSM185529_Treat	GSM185530_Treat
RNASE2	6.952622	7.567541	7.298311	7.473971	7.779883	8.031472	6.877895	7.477205	6.784581	7.201889	7.881141	6.668264	7.431576	7.390744	7.540085	6.692533	6.8291	6.916466	8.618309	7.69838	7.479847	8.641395	6.852179	7.313378	7.997825	8.8806	8.927535	8.363061	8.802902	8.771632	8.845852	10.36936	9.072405	7.732252	9.380389	8.73978	8.585082	8.650587	8.426497	8.645209	8.269544	8.93251	9.024973	8.373958	8.333317	8.714577	8.401284	8.882783	8.776947	7.78882	8.693303	8.799518	7.073745
S100A8	10.40608	10.688643	10.142817	10.142277	10.776743	11.641733	9.86037	11.707701	10.449315	10.754339	11.287629	10.910288	10.742667	11.424327	10.867783	9.960883	9.930418	9.879411	12.087613	11.417697	10.939515	12.324608	12.544846	12.254463	12.298508	12.714402	12.452152	12.426742	12.452152	12.448685	12.568179	12.675706	12.501769	11.945204	12.980583	13.161283	12.980583	12.26415	12.151442	12.420543	11.169248	13.161283	12.86765	10.814231	13.161283	13.161283	11.924596	10.015442	11.531873	11.855957	12.561044	11.424649	10.584556
S100A9	10.24955	10.259789	10.451657	9.883618	9.982765	10.633942	9.68572	10.405708	9.913513	10.414217	10.147625	10.454423	10.475066	10.681768	10.405708	9.926477	9.771867	9.732426	10.366078	11.411717	10.696912	10.741779	11.302763	9.85204	9.901953	11.79951	11.277291	11.166006	11.144008	10.889928	10.949635	12.007304	11.000238	11.25424	11.491098	11.653399	12.172741	11.550537	10.730264	11.570375	11.382918	11.653399	11.127545	10.172412	11.630115	10.601368	10.745408	10.196513	11.21737	11.091968	10.424753	10.572362	10.773591
RTN1	7.152247	7.499193	7.072055	7.649934	6.917875	6.636042	6.800202	6.775922	6.5022	7.301405	6.391529	6.54975	7.775918	7.544908	7.319543	6.627838	7.143659	6.789737	6.991352	5.554268	6.606058	7.348434	6.987705	7.442188	6.095105	6.248674	5.983561	6.188534	6.520968	6.066916	6.350784	5.301554	6.47689	6.169021	6.13974	6.280456	5.350773	7.276476	6.100531	6.018786	7.12312	6.696868	6.310954	6.59938	5.773131	5.973858	6.126038	7.012959	6.79285	5.47205	7.12122	5.444766	5.879436
CKAP4	10.428019	9.582433	9.69429	10.251629	9.6506	10.649221	9.242623	10.386777	10.151455	10.394089	9.795783	10.120216	10.264589	10.34214	10.445999	10.225749	11.078536	9.615341	9.735581	10.426319	10.599873	11.145518	10.104811	10.151791	11.147984	11.299504	11.033254	10.499562	11.092654	10.228225	10.893144	11.878514	10.787789	11.85478	10.784255	10.037504	11.264651	11.107183	10.492861	11.606352	11.372395	10.881212	10.414127	10.616689	11.942206	9.588276	10.92615	11.292968	11.169673	10.556749	10.190164	10.450004	11.346193
ZFP36	11.976859	12.955869	12.041929	12.08025	11.987953	11.666643	12.582451	12.040009	12.461993	12.780054	12.142868	12.697631	12.388685	11.950976	12.5156	12.411695	13.41561	12.199107	12.284786	12.275264	13.053672	12.087235	12.091935	11.951164	12.133467	12.053135	11.445528	11.879989	11.371769	10.61908	11.969775	11.487807	12.128719	12.762418	10.908256	11.721735	11.477654	11.94536	10.911749	11.588941	12.404996	11.881782	11.20559	11.554325	11.781561	11.357767	11.759958	12.225151	10.922172	11.682532	12.27774	12.077512	10.655335
TXN	11.095356	10.417592	11.072078	10.75772	11.052329	11.578912	10.360941	11.179145	10.776114	11.150848	11.209617	10.898642	11.433962	11.254197	10.743011	10.523148	10.560406	10.355263	11.378619	11.48764	12.179419	12.057883	11.703151	11.866168	12.437121	11.646374	11.927545	11.779059	12.099423	12.671279	11.520588	12.295053	11.782411	11.580814	11.887162	12.491338	12.739705	11.809292	11.975767	12.242322	10.866707	12.779429	11.807254	10.830989	12.477604	12.371697	11.908699	11.353029	11.513521	11.079121	11.324029	10.985292	11.38798
STK17B	7.383261	7.139072	7.055201	7.200562	7.641718	7.737195	7.085483	7.443287	7.402372	7.653908	7.702687	7.785665	7.491875	7.218064	6.798632	7.211925	7.217708	7.365861	8.422096	7.486819	7.344152	7.792524	7.051625	6.929457	8.288797	8.380667	7.805629	8.171142	7.761349	8.497336	7.511976	8.438333	7.874101	8.494926	7.683277	8.568719	8.754828	7.701724	7.511019	8.289769	6.596723	8.175136	7.975128	7.15885	9.02362	8.250044	7.737195	8.08739	7.065768	7.764894	8.04051	8.671587	8.060388
POLD2	10.503822	9.608101	9.797923	10.009623	9.932258	9.596058	10.570679	10.167084	10.277017	9.599977	10.1754	10.029155	9.080272	9.631047	9.652019	9.998065	9.824632	10.053774	9.381472	9.993102	9.380206	9.813374	9.905289	9.666451	8.331761	8.368072	9.510312	10.240676	9.228713	9.097954	9.759258	8.402327	9.39253	8.287123	9.411089	9.226397	7.655477	9.252623	9.918454	8.376298	10.236455	8.725045	9.386678	9.650247	8.145562	9.660531	9.328999	8.578686	9.494949	9.618057	9.281677	8.653139	9.895027
VCAN	8.389916	9.515992	8.616555	9.587789	9.043548	9.195512	8.740059	9.671137	9.69298	10.139266	9.677544	8.895769	9.95518	10.417993	7.165014	10.120021	7.368597	10.066401	9.895681	8.993945	10.235231	9.576811	9.2446	9.284742	9.797574	11.10427	10.99723	10.491824	10.489275	10.313363	9.699856	10.252985	9.524077	9.395733	11.407884	10.819088	9.779712	10.954309	10.484113	10.534255	7.445921	10.15396	11.325016	11.218222	11.250316	10.612809	10.982003	10.200098	10.353597	10.188141	10.592115	10.333062	9.753351
