"name","selected","shared name"
"VCAN","false","VCAN"
"IRAK3","false","IRAK3"
"TNFSF14","false","TNFSF14"
"CSF1R","false","CSF1R"
"AIM2","false","AIM2"
"STK17B","false","STK17B"
"CD4","false","CD4"
"ORM1","false","ORM1"
"IL1R2","false","IL1R2"
"F5","false","F5"
"TPST1","false","TPST1"
"S100A9","false","S100A9"
"RNASE2","false","RNASE2"
"ARG1","false","ARG1"
"IER3","false","IER3"
"VNN1","false","VNN1"
"S100A12","false","S100A12"
"TNFAIP6","false","TNFAIP6"
"SLPI","false","SLPI"
"IL18R1","false","IL18R1"
