geneNames	GSE10500_GSM265436_Control	GSE10500_GSM265439_Control	GSE10500_GSM265445_Control	GSE10500_GSM265020_Treat	GSE10500_GSM265036_Treat	GSE10500_GSM265361_Treat	GSE10500_GSM265363_Treat	GSE10500_GSM265366_Treat	GSE15573_GSM389705_Control	GSE15573_GSM389707_Control	GSE15573_GSM389709_Control	GSE15573_GSM389710_Control	GSE15573_GSM389712_Control	GSE15573_GSM389713_Control	GSE15573_GSM389715_Control	GSE15573_GSM389718_Control	GSE15573_GSM389720_Control	GSE15573_GSM389723_Control	GSE15573_GSM389725_Control	GSE15573_GSM389728_Control	GSE15573_GSM389729_Control	GSE15573_GSM389732_Control	GSE15573_GSM389734_Control	GSE15573_GSM389703_Treat	GSE15573_GSM389704_Treat	GSE15573_GSM389706_Treat	GSE15573_GSM389708_Treat	GSE15573_GSM389711_Treat	GSE15573_GSM389714_Treat	GSE15573_GSM389716_Treat	GSE15573_GSM389717_Treat	GSE15573_GSM389719_Treat	GSE15573_GSM389721_Treat	GSE15573_GSM389722_Treat	GSE15573_GSM389724_Treat	GSE15573_GSM389726_Treat	GSE15573_GSM389727_Treat	GSE15573_GSM389730_Treat	GSE15573_GSM389731_Treat	GSE15573_GSM389733_Treat	GSE15573_GSM389735_Treat	GSE7669_GSM185531_Control	GSE7669_GSM185532_Control	GSE7669_GSM185533_Control	GSE7669_GSM185534_Control	GSE7669_GSM185535_Control	GSE7669_GSM185536_Control	GSE7669_GSM183695_Treat	GSE7669_GSM185526_Treat	GSE7669_GSM185527_Treat	GSE7669_GSM185528_Treat	GSE7669_GSM185529_Treat	GSE7669_GSM185530_Treat
AADAC	2.3774425	2.3875732	2.7425314	4.4219499	4.8874887	3.1394959	2.8552111	2.4883424	7.397012	7.144441	7.196436	7.335779	7.335828	7.335298	7.435407	7.304425	7.28337	7.228067	7.263343	7.172081	7.262586	7.162595	7.373028	7.24512	7.179472	7.10784	7.187262	7.425136	7.259996	7.401737	7.203157	7.389126	7.289516	7.322027	7.298924	7.314846	7.069786	7.499982	7.324394	7.318551	7.272522	2.7381456	3.5034003	4.1955691	2.6729348	2.8942906	3.3645921	1.8064389	1.1912818	1.3371855	2.8676366	2.0328775	3.6374555
AAK1	5.2201955	5.3962579	5.1299733	5.1786162	5.7671573	5.4774075	5.506523	5.40837	7.339021	7.17185	7.247104	7.319214	7.263879	7.349146	7.35104	7.242496	7.275705	7.360314	7.342192	7.203391	7.380376	7.333205	7.376051	7.035928	7.115893	7.253628	7.336578	7.144441	7.532367	7.28866	7.300098	7.504711	7.162382	7.40137	7.19852	7.39594	7.280269	7.43472	7.263924	7.232986	7.397589	4.8676438	4.5523325	4.5964672	5.5056775	4.6660365	5.7675291	4.8711579	4.8121472	5.0697974	5.2930708	4.9109186	4.865319
AAMP	7.8484215	8.0587027	8.2875379	7.0479486	7.9595807	7.9836623	8.1381418	7.9188039	8.603996	8.51878	8.56489	8.476718	8.425516	8.477658	8.474269	8.502526	8.509819	8.346624	8.575735	8.656265	8.644893	8.816686	8.419882	8.340699	8.597143	8.395457	8.440144	8.544323	8.507351	8.158972	8.144029	8.573311	8.489468	8.358176	8.822332	8.327285	8.522078	8.647391	8.446918	8.333295	8.378123	8.7321995	9.3456098	9.2323252	8.9846091	9.1722166	9.2817591	8.6271431	8.7701189	8.8872445	9.1757189	9.0687418	8.7500154
AANAT	7.7143218	8.0715732	7.7019497	8.0598293	8.7200366	8.1822812	8.0097728	8.6427465	7.092593	6.936525	7.078518	7.221625	7.183495	7.038894	7.103724	6.994256	7.043877	7.205681	7.084435	7.154534	7.14247	7.132039	7.053137	7.107048	7.103044	7.131932	7.125725	7.198132	7.128496	7.213968	7.068942	7.197412	7.065049	7.207869	7.196945	7.02536	7.095638	7.282451	6.904909	7.025476	7.056911	8.0160987	8.3887915	8.285584	8.5409736	8.58284	8.8659548	8.6242827	8.4385065	8.7858283	8.1874178	8.8358877	8.3707241
AARS	8.0857407	7.9709666	8.6823495	8.5445099	9.1094772	8.8630162	8.8519289	9.5044276	10.353499	10.208196	10.066956	10.268421	10.412925	10.45385	10.303758	10.080532	10.28039	9.699665	9.997635	9.79129	10.147349	10.206059	10.430513	9.83636	10.244662	9.226629	10.094319	9.492354	9.794522	9.559021	9.093059	9.932049	10.385035	9.511436	10.2094	9.458516	9.708642	10.405783	9.224976	9.690004	9.920246	10.356533	10.8590308	10.464903	10.5860686	10.34794	10.6680865	10.4513443	10.7405328	10.6352936	10.6079948	10.6996625	10.3879492
AASDHPPT	8.8127051	8.8344477	8.7750807	8.8950851	7.6423812	7.8290881	7.7849619	7.8160411	7.504672	7.57185	7.621276	7.688473	7.663506	7.553998	7.492053	7.673737	7.756607	7.492141	7.475055	7.894244	7.568393	7.312206	7.638115	7.535795	7.512389	7.311771	7.535725	7.435577	7.219785	7.451943	7.237765	7.46441	7.381355	7.212233	7.173826	7.445795	7.572048	7.376212	7.319605	7.688057	7.307181	9.7120116	9.4432464	9.2173678	9.1596262	9.3951015	9.5019113	9.056643	9.0713698	9.5146341	9.8520511	9.5557457	9.3981205
AASS	2.6175011	2.1880655	2.4524243	2.6851887	2.9969318	2.4622457	1.4554234	2.7667552	7.353117	7.267945	7.455215	7.369681	7.333528	7.405542	7.466567	7.344743	7.460742	7.343944	7.345153	7.324893	7.242856	7.316903	7.359888	7.208836	7.403082	7.308904	7.43302	7.351218	7.31608	7.440639	7.592244	7.328891	7.397497	7.316875	7.557059	7.408057	7.415041	7.312678	7.233671	7.247021	7.43891	5.9406956	4.9577632	4.3213805	5.813376	2.9379541	5.4751015	5.5121371	5.4852758	5.7001523	5.544028	5.6588422	5.039883
AATF	9.4431	8.8935004	9.4102792	8.5197613	8.7154726	8.8519289	8.9889122	8.5941025	10.0595	9.905979	9.687124	9.79689	9.782665	9.520474	9.94571	9.672202	9.801801	9.684269	10.040291	9.747164	9.917753	10.006676	9.606799	9.454341	9.870343	10.210441	9.641334	9.83636	9.803219	9.41858	9.47167	9.943061	9.873612	9.926618	10.276199	9.657926	9.845509	9.988359	9.98931	9.123965	9.938751	10.2478595	10.4037837	10.2710132	10.4443049	10.6248805	10.3986802	10.1397374	10.3329546	9.972271	10.0967355	10.4538311	10.5289105
AATK	9.0629466	7.6423812	8.3202302	5.7971039	7.2881398	6.8453072	7.1824444	6.7674236	8.173059	8.068921	7.9071	7.933083	7.903351	7.786146	8.113483	7.800813	7.808447	7.951918	7.967415	8.034568	8.101698	8.248238	8.111099	7.852805	8.042873	8.438984	7.975527	8.219997	7.880217	7.885857	8.375999	8.124856	7.911077	8.108167	8.242796	7.935245	7.862346	8.199524	8.365382	7.790564	8.317984	6.8714031	7.2863936	7.0072576	6.9745198	7.4177617	7.717276	7.323373	7.6295785	7.1391315	6.8014532	7.3758787	7.2816131
ABAT	5.1988064	4.5629185	4.5919037	4.8387304	4.2394316	3.1448685	4.0256963	4.5644547	7.620731	7.480809	7.401156	7.518169	7.46829	7.562178	7.707647	7.537142	7.420842	7.53868	7.668195	7.349542	7.798664	7.559473	7.543644	7.513818	7.525439	7.4607	7.401997	7.63374	7.541849	7.568393	7.415222	7.544716	7.65828	7.800813	7.404053	7.686308	7.427355	7.624054	7.73292	7.488716	7.610639	4.6737158	3.9931045	5.1187357	4.9687257	5.2282006	5.3296705	4.2954676	4.7475179	5.320723	5.7332558	5.0993861	5.0410204
