Method	Train	GSE118958	GSE172188	GSE176440
SVM	0.958333333333333	0.5	0.6	0.607142857142857
glmBoost+SVM	1	0.5	0.55	0.553571428571428
Ridge	0.988505747126437	0.5	0.72	0.508928571428571
Lasso+SVM	0.979166666666667	0.625	0.6	0.5
glmBoost+Ridge	0.997126436781609	0.5	0.65	0.544642857142857
Enet[alpha=0.1]	0.988505747126437	0.5	0.68	0.5
glmBoost+Enet[alpha=0.1]	1	0.5	0.62	0.544642857142857
Enet[alpha=0.2]	0.992816091954023	0.5	0.67	0.524234693877551
Enet[alpha=0.3]	0.997126436781609	0.5	0.63	0.536989795918367
glmBoost+Enet[alpha=0.3]	1	0.5	0.61	0.536989795918367
glmBoost+Enet[alpha=0.2]	1	0.5	0.63	0.538265306122449
Enet[alpha=0.4]	1	0.5	0.62	0.536989795918367
glmBoost+Enet[alpha=0.4]	1	0.5	0.58	0.536989795918367
Lasso+glmBoost	0.995689655172414	0.5	0.47	0.535714285714286
Enet[alpha=0.5]	1	0.5	0.57	0.536989795918367
glmBoost	0.995689655172414	0.5	0.56	0.520408163265306
glmBoost+Enet[alpha=0.5]	1	0.5	0.57	0.55484693877551
Enet[alpha=0.6]	1	0.5	0.56	0.543367346938776
glmBoost+Enet[alpha=0.6]	1	0.5	0.57	0.534438775510204
glmBoost+Enet[alpha=0.7]	0.998563218390805	0.5	0.55	0.533163265306122
glmBoost+Enet[alpha=0.8]	1	0.5	0.47	0.563775510204082
Enet[alpha=0.8]	1	0.5	0.47	0.557397959183674
Enet[alpha=0.9]	0.994252873563218	0.5	0.47	0.530612244897959
Lasso	1	0.4375	0.48	0.5625
Enet[alpha=0.7]	0.998563218390805	0.5	0.45	0.535714285714286
glmBoost+Enet[alpha=0.9]	1	0.5	0.48	0.55484693877551
glmBoost+Lasso	0.998563218390805	0.5	0.48	0.545918367346939
Lasso+plsRglm	0.988505747126437	0.5	0.58	0.543367346938776
glmBoost+plsRglm	0.991379310344828	0.5	0.71	0.530612244897959
glmBoost+Stepglm[forward]	1	0.53125	0.54	0.593112244897959
Lasso+Stepglm[forward]	1	0.5625	0.56	0.57780612244898
