features	algorithm
AIM2	SVM
ARG1	SVM
CD4	SVM
CSF1R	SVM
F5	SVM
IER3	SVM
IL18R1	SVM
IL1R2	SVM
IRAK3	SVM
ORM1	SVM
RNASE2	SVM
S100A12	SVM
S100A9	SVM
SLPI	SVM
STK17B	SVM
TNFAIP6	SVM
TNFSF14	SVM
TPST1	SVM
VCAN	SVM
VNN1	SVM
AIM2	glmBoost+SVM
CSF1R	glmBoost+SVM
F5	glmBoost+SVM
IER3	glmBoost+SVM
IL18R1	glmBoost+SVM
RNASE2	glmBoost+SVM
S100A9	glmBoost+SVM
SLPI	glmBoost+SVM
VCAN	glmBoost+SVM
VNN1	glmBoost+SVM
AIM2	Ridge
ARG1	Ridge
CD4	Ridge
CSF1R	Ridge
F5	Ridge
IER3	Ridge
IL18R1	Ridge
IL1R2	Ridge
IRAK3	Ridge
ORM1	Ridge
RNASE2	Ridge
S100A12	Ridge
S100A9	Ridge
SLPI	Ridge
STK17B	Ridge
TNFAIP6	Ridge
TNFSF14	Ridge
TPST1	Ridge
VCAN	Ridge
VNN1	Ridge
CSF1R	Lasso+SVM
F5	Lasso+SVM
IER3	Lasso+SVM
IL18R1	Lasso+SVM
RNASE2	Lasso+SVM
SLPI	Lasso+SVM
VCAN	Lasso+SVM
VNN1	Lasso+SVM
AIM2	glmBoost+Ridge
CSF1R	glmBoost+Ridge
F5	glmBoost+Ridge
IER3	glmBoost+Ridge
IL18R1	glmBoost+Ridge
RNASE2	glmBoost+Ridge
S100A9	glmBoost+Ridge
SLPI	glmBoost+Ridge
VCAN	glmBoost+Ridge
VNN1	glmBoost+Ridge
AIM2	Enet[alpha=0.1]
CD4	Enet[alpha=0.1]
CSF1R	Enet[alpha=0.1]
F5	Enet[alpha=0.1]
IER3	Enet[alpha=0.1]
IL18R1	Enet[alpha=0.1]
IRAK3	Enet[alpha=0.1]
ORM1	Enet[alpha=0.1]
RNASE2	Enet[alpha=0.1]
S100A12	Enet[alpha=0.1]
S100A9	Enet[alpha=0.1]
SLPI	Enet[alpha=0.1]
STK17B	Enet[alpha=0.1]
TNFSF14	Enet[alpha=0.1]
TPST1	Enet[alpha=0.1]
VCAN	Enet[alpha=0.1]
VNN1	Enet[alpha=0.1]
AIM2	glmBoost+Enet[alpha=0.1]
CSF1R	glmBoost+Enet[alpha=0.1]
F5	glmBoost+Enet[alpha=0.1]
IER3	glmBoost+Enet[alpha=0.1]
IL18R1	glmBoost+Enet[alpha=0.1]
RNASE2	glmBoost+Enet[alpha=0.1]
S100A9	glmBoost+Enet[alpha=0.1]
SLPI	glmBoost+Enet[alpha=0.1]
VCAN	glmBoost+Enet[alpha=0.1]
VNN1	glmBoost+Enet[alpha=0.1]
AIM2	Enet[alpha=0.2]
CSF1R	Enet[alpha=0.2]
F5	Enet[alpha=0.2]
IER3	Enet[alpha=0.2]
IL18R1	Enet[alpha=0.2]
IRAK3	Enet[alpha=0.2]
ORM1	Enet[alpha=0.2]
