Symbol	id	trait	population	Chr	Start	End
A1BG	eqtl-a-ENSG00000121410	ENSG00000121410	European	19	58856549	58864858
A1BG-AS1	eqtl-a-ENSG00000268895	ENSG00000268895	European	19	58863336	58866549
A2M	eqtl-a-ENSG00000175899	ENSG00000175899	European	12	9220304	9268825
A2M-AS1	eqtl-a-ENSG00000245105	ENSG00000245105	European	12	9217773	9220651
A2ML1	eqtl-a-ENSG00000166535	ENSG00000166535	European	12	8975217	9029383
A2MP1	eqtl-a-ENSG00000256069	ENSG00000256069	European	12	9381129	9386803
A3GALT2	eqtl-a-ENSG00000184389	ENSG00000184389	European	1	33772367	33786699
A4GALT	eqtl-a-ENSG00000128274	ENSG00000128274	European	22	43088127	43117307
AAAS	eqtl-a-ENSG00000094914	ENSG00000094914	European	12	53701244	53715394
AACS	eqtl-a-ENSG00000081760	ENSG00000081760	European	12	125549981	125627862
AAGAB	eqtl-a-ENSG00000103591	ENSG00000103591	European	15	67493005	67547536
AAK1	eqtl-a-ENSG00000115977	ENSG00000115977	European	2	69685129	69870871
AAMDC	eqtl-a-ENSG00000087884	ENSG00000087884	European	11	77532190	77617070
AAMP	eqtl-a-ENSG00000127837	ENSG00000127837	European	2	219128852	219134860
AANAT	eqtl-a-ENSG00000129673	ENSG00000129673	European	17	74449433	74466199
AAR2	eqtl-a-ENSG00000131043	ENSG00000131043	European	20	34824400	34844855
AARS1	eqtl-a-ENSG00000090861	ENSG00000090861	European	16	70286201	70323409
AARS2	eqtl-a-ENSG00000124608	ENSG00000124608	European	6	44266468	44281084
AARSD1	eqtl-a-ENSG00000266967	ENSG00000266967	European	17	41102543	41116471
AASDH	eqtl-a-ENSG00000157426	ENSG00000157426	European	4	57204456	57253657
AASDHPPT	eqtl-a-ENSG00000149313	ENSG00000149313	European	11	105948389	105969422
AASS	eqtl-a-ENSG00000008311	ENSG00000008311	European	7	121713603	121784303
AATBC	eqtl-a-ENSG00000215458	ENSG00000215458	European	21	45225639	45232448
AATK	eqtl-a-ENSG00000181409	ENSG00000181409	European	17	79091095	79140021
ABAT	eqtl-a-ENSG00000183044	ENSG00000183044	European	16	8768474	8878427
ABCA1	eqtl-a-ENSG00000165029	ENSG00000165029	European	9	107543287	107690436
ABCA10	eqtl-a-ENSG00000154263	ENSG00000154263	European	17	67144148	67240989
ABCA11P	eqtl-a-ENSG00000251595	ENSG00000251595	European	4	419224	467998
ABCA13	eqtl-a-ENSG00000179869	ENSG00000179869	European	7	48211055	48687093
ABCA17P	eqtl-a-ENSG00000238098	ENSG00000238098	European	16	2390923	2476700
ABCA2	eqtl-a-ENSG00000107331	ENSG00000107331	European	9	139901686	139923374
ABCA3	eqtl-a-ENSG00000167972	ENSG00000167972	European	16	2325882	2390729
ABCA5	eqtl-a-ENSG00000154265	ENSG00000154265	European	17	67240452	67323274
ABCA6	eqtl-a-ENSG00000154262	ENSG00000154262	European	17	67074843	67138036
ABCA7	eqtl-a-ENSG00000064687	ENSG00000064687	European	19	1040106	1065571
ABCA9	eqtl-a-ENSG00000154258	ENSG00000154258	European	17	66970629	67057068
ABCB1	eqtl-a-ENSG00000085563	ENSG00000085563	European	7	87132333	87342611
ABCB10	eqtl-a-ENSG00000135776	ENSG00000135776	European	1	229652329	229694454
ABCB4	eqtl-a-ENSG00000005471	ENSG00000005471	European	7	87031012	87104996
ABCB6	eqtl-a-ENSG00000115657	ENSG00000115657	European	2	220074494	220083680
ABCB7	eqtl-a-ENSG00000131269	ENSG00000131269	European	X	74270883	74376118
