Symbol	id	trait	population	Chr	Start	End
AIM2	eqtl-a-ENSG00000163568	ENSG00000163568	European	1	159032274	159046556
CSF1R	eqtl-a-ENSG00000182578	ENSG00000182578	European	5	149432858	149492928
F5	eqtl-a-ENSG00000198734	ENSG00000198734	European	1	169481189	169555719
IER3	eqtl-a-ENSG00000137331	ENSG00000137331	European	6	30710976	30712324
IL18R1	eqtl-a-ENSG00000115604	ENSG00000115604	European	2	102972256	103015236
RNASE2	eqtl-a-ENSG00000169385	ENSG00000169385	European	14	21423646	21424595
S100A9	eqtl-a-ENSG00000163220	ENSG00000163220	European	1	153330330	153333499
SLPI	eqtl-a-ENSG00000124107	ENSG00000124107	European	20	43880880	43883205
VCAN	eqtl-a-ENSG00000038427	ENSG00000038427	European	5	82767563	82878121
VNN1	eqtl-a-ENSG00000112299	ENSG00000112299	European	6	133001988	133035194
